holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,traffic_volume,month,weekday,hour
None,290.65,0.0,0.0,20,Clouds,3591,October,Wednesday,19
None,288.19,0.0,0.0,20,Clouds,2898,October,Wednesday,20
None,287.1,0.0,0.0,1,Clear,2637,October,Wednesday,21
None,286.25,0.0,0.0,1,Clear,1777,October,Wednesday,22
None,285.26,0.0,0.0,1,Clear,1015,October,Wednesday,23
None,284.55,0.0,0.0,1,Clear,598,October,Thursday,0
None,283.47,0.0,0.0,1,Clear,369,October,Thursday,1
None,283.17,0.0,0.0,1,Clear,312,October,Thursday,2
None,282.04,0.0,0.0,1,Clear,367,October,Thursday,3
None,281.69,0.0,0.0,1,Clear,835,October,Thursday,4
None,281.32,0.0,0.0,1,Clear,2726,October,Thursday,5
None,280.74,0.0,0.0,1,Clear,5689,October,Thursday,6
None,280.57,0.0,0.0,1,Clear,6990,October,Thursday,7
None,281.86,0.0,0.0,1,Clear,5985,October,Thursday,8
None,284.98,0.0,0.0,1,Clear,5309,October,Thursday,9
None,289.18,0.0,0.0,1,Clear,4603,October,Thursday,10
None,291.55,0.0,0.0,1,Clear,4884,October,Thursday,11
None,294.97,0.0,0.0,1,Clear,5104,October,Thursday,12
None,296.38,0.0,0.0,1,Clear,5178,October,Thursday,13
None,297.32,0.0,0.0,1,Clear,5501,October,Thursday,14
None,298.17,0.0,0.0,1,Clear,5713,October,Thursday,15
None,298.06,0.0,0.0,20,Clouds,6292,October,Thursday,16
None,297.67,0.0,0.0,20,Clouds,6057,October,Thursday,17
None,296.36,0.0,0.0,40,Clouds,4907,October,Thursday,18
None,293.85,0.0,0.0,40,Clouds,3503,October,Thursday,19
None,292.43,0.0,0.0,40,Clouds,3037,October,Thursday,20
None,291.77,0.0,0.0,75,Clouds,2822,October,Thursday,21
None,291.36,0.0,0.0,75,Clouds,1992,October,Thursday,22
None,291.12,0.0,0.0,75,Clouds,1166,October,Thursday,23
None,290.63,0.0,0.0,75,Clouds,627,October,Friday,0
None,290.46,0.0,0.0,40,Clouds,388,October,Friday,1
None,289.26,0.0,0.0,0,Clear,368,October,Friday,3
None,283.21,0.0,0.0,75,Clouds,2489,October,Friday,5
None,282.24,0.0,0.0,90,Clouds,5537,October,Friday,6
None,281.69,0.0,0.0,90,Clouds,6628,October,Friday,7
None,280.57,0.0,0.0,90,Clouds,5534,October,Friday,8
None,280.02,0.0,0.0,75,Clouds,5403,October,Friday,9
None,280.11,0.0,0.0,75,Clouds,4770,October,Friday,10
None,280.0,0.0,0.0,90,Clouds,5217,October,Friday,11
None,280.53,0.0,0.0,90,Clouds,5870,October,Friday,12
None,281.43,0.0,0.0,75,Clouds,5967,October,Friday,13
None,281.78,0.0,0.0,90,Clouds,6108,October,Friday,14
None,281.91,0.0,0.0,90,Clouds,6128,October,Friday,15
None,281.73,0.0,0.0,90,Clouds,6069,October,Friday,16
None,281.42,0.0,0.0,90,Clouds,6169,October,Friday,17
None,280.87,0.0,0.0,90,Clouds,5384,October,Friday,18
None,280.15,0.0,0.0,90,Clouds,4063,October,Friday,19
None,279.78,0.0,0.0,90,Clouds,3364,October,Friday,20
None,279.65,0.0,0.0,75,Clouds,2971,October,Friday,21
None,279.22,0.0,0.0,40,Clouds,2450,October,Friday,22
None,279.06,0.0,0.0,40,Clouds,1832,October,Friday,23
None,278.81,0.0,0.0,90,Clouds,1231,October,Saturday,0
None,278.55,0.0,0.0,90,Clouds,718,October,Saturday,1
None,278.59,0.0,0.0,90,Clouds,545,October,Saturday,2
None,276.99,0.0,0.0,75,Clouds,411,October,Saturday,4
None,276.35,0.0,0.0,20,Clouds,688,October,Saturday,5
None,275.4,0.0,0.0,1,Clear,1352,October,Saturday,6
None,275.17,0.0,0.0,1,Clear,2072,October,Saturday,7
None,274.99,0.0,0.0,1,Clear,3342,October,Saturday,8
None,275.09,0.0,0.0,40,Clouds,4258,October,Saturday,9
None,276.88,0.0,0.0,20,Clouds,4861,October,Saturday,10
None,278.04,0.0,0.0,20,Clouds,5191,October,Saturday,11
None,279.08,0.0,0.0,40,Clouds,5669,October,Saturday,12
None,280.12,0.0,0.0,75,Clouds,5074,October,Saturday,13
None,280.25,0.0,0.0,75,Clouds,5025,October,Saturday,14
None,280.0,0.0,0.0,75,Clouds,5153,October,Saturday,15
None,279.06,0.0,0.0,90,Clouds,5024,October,Saturday,16
None,278.91,0.0,0.0,90,Clouds,4779,October,Saturday,17
None,278.39,0.0,0.0,90,Clouds,4362,October,Saturday,18
None,278.16,0.0,0.0,90,Clouds,3860,October,Saturday,19
None,278.16,0.0,0.0,90,Clouds,3160,October,Saturday,20
None,277.93,0.0,0.0,90,Clouds,2992,October,Saturday,21
None,276.9,0.0,0.0,90,Clouds,3202,October,Saturday,22
None,276.34,0.0,0.0,75,Clouds,1941,October,Saturday,23
None,276.11,0.0,0.0,75,Clouds,1233,October,Sunday,0
None,275.73,0.0,0.0,90,Clouds,323,October,Sunday,3
None,275.65,0.0,0.0,90,Clouds,312,October,Sunday,4
None,275.51,0.0,0.0,75,Clouds,627,October,Sunday,5
None,275.05,0.0,0.0,90,Clouds,1508,October,Sunday,6
None,274.77,0.0,0.0,90,Clouds,1539,October,Sunday,7
None,274.77,0.0,0.0,75,Clouds,2232,October,Sunday,8
None,275.55,0.0,0.0,75,Clouds,4568,October,Sunday,9
None,276.24,0.0,0.0,75,Clouds,4624,October,Sunday,10
None,277.01,0.0,0.0,90,Clouds,4529,October,Sunday,11
None,277.43,0.0,0.0,90,Clouds,5139,October,Sunday,12
None,278.45,0.0,0.0,90,Clouds,6640,October,Sunday,13
None,279.27,0.0,0.0,90,Clouds,6589,October,Sunday,14
None,279.27,0.0,0.0,90,Clouds,4429,October,Sunday,15
None,279.44,0.0,0.0,90,Clouds,4329,October,Sunday,16
None,279.32,0.0,0.0,90,Clouds,3833,October,Sunday,17
None,279.27,0.0,0.0,90,Clouds,4015,October,Sunday,18
None,278.11,0.0,0.0,90,Clouds,3382,October,Sunday,19
None,276.79,0.0,0.0,75,Clouds,2815,October,Sunday,20
None,275.73,0.0,0.0,90,Clouds,2110,October,Sunday,21
None,274.88,0.0,0.0,75,Clouds,1555,October,Sunday,22
None,273.92,0.0,0.0,20,Clouds,959,October,Sunday,23
Columbus Day,273.08,0.0,0.0,20,Clouds,455,October,Monday,0
None,272.62,0.0,0.0,20,Clouds,336,October,Monday,1
None,271.78,0.0,0.0,1,Clear,265,October,Monday,2
None,271.05,0.0,0.0,1,Clear,314,October,Monday,3
None,270.63,0.0,0.0,1,Clear,779,October,Monday,4
None,270.33,0.0,0.0,1,Clear,2571,October,Monday,5
None,269.61,0.0,0.0,20,Clouds,5563,October,Monday,6
None,270.01,0.0,0.0,20,Clouds,6676,October,Monday,7
None,271.23,0.0,0.0,20,Clouds,5966,October,Monday,8
None,273.71,0.0,0.0,20,Clouds,4832,October,Monday,9
None,276.77,0.0,0.0,20,Clouds,4395,October,Monday,10
None,279.47,0.0,0.0,20,Clouds,4411,October,Monday,11
None,279.84,0.0,0.0,1,Clear,4648,October,Monday,12
None,282.34,0.0,0.0,40,Clouds,4602,October,Monday,13
None,282.94,0.0,0.0,40,Clouds,5125,October,Monday,14
None,283.48,0.0,0.0,1,Clear,5502,October,Monday,15
None,284.33,0.0,0.0,1,Clear,5979,October,Monday,16
None,284.48,0.0,0.0,40,Clouds,5663,October,Monday,17
None,284.23,0.0,0.0,40,Clouds,4259,October,Monday,18
None,281.99,0.0,0.0,20,Clouds,3069,October,Monday,19
None,279.81,0.0,0.0,1,Clear,2378,October,Monday,20
None,279.35,0.0,0.0,1,Clear,2030,October,Monday,21
None,278.9,0.0,0.0,1,Clear,1400,October,Monday,22
None,278.46,0.0,0.0,1,Clear,917,October,Monday,23
None,277.78,0.0,0.0,1,Clear,515,October,Tuesday,0
None,277.27,0.0,0.0,1,Clear,302,October,Tuesday,1
None,277.47,0.0,0.0,1,Clear,251,October,Tuesday,2
None,276.97,0.0,0.0,20,Clouds,798,October,Tuesday,4
None,276.52,0.0,0.0,40,Clouds,2678,October,Tuesday,5
None,276.6,0.0,0.0,40,Clouds,5733,October,Tuesday,6
None,277.31,0.0,0.0,75,Clouds,6449,October,Tuesday,7
None,278.38,0.0,0.0,90,Clouds,5765,October,Tuesday,8
None,279.35,0.0,0.0,90,Clouds,5599,October,Tuesday,9
None,281.37,0.0,0.0,90,Clouds,4534,October,Tuesday,10
None,283.11,0.0,0.0,90,Clouds,4691,October,Tuesday,11
None,284.08,0.0,0.0,75,Clouds,5067,October,Tuesday,12
None,285.14,0.0,0.0,75,Clouds,5030,October,Tuesday,13
None,286.35,0.0,0.0,90,Clouds,5300,October,Tuesday,14
None,287.23,0.0,0.0,100,Rain,5777,October,Tuesday,15
None,288.53,0.0,0.0,90,Clouds,6349,October,Tuesday,16
None,290.37,0.0,0.0,90,Clouds,6127,October,Tuesday,17
None,290.13,0.0,0.0,90,Clouds,4460,October,Tuesday,18
None,288.86,0.0,0.0,75,Clouds,3418,October,Tuesday,19
None,287.36,0.0,0.0,90,Clouds,2775,October,Tuesday,20
None,285.11,0.0,0.0,90,Clouds,2306,October,Tuesday,21
None,283.46,0.0,0.0,90,Clouds,1846,October,Tuesday,22
None,282.45,0.0,0.0,90,Clouds,947,October,Tuesday,23
None,281.88,0.0,0.0,90,Clouds,494,October,Wednesday,0
None,281.78,0.0,0.0,90,Clouds,332,October,Wednesday,1
None,281.09,0.0,0.0,75,Clouds,261,October,Wednesday,2
None,281.17,0.0,0.0,90,Clouds,361,October,Wednesday,3
None,281.25,0.0,0.0,92,Clear,5875,October,Wednesday,6
None,281.25,0.0,0.0,99,Rain,6793,October,Wednesday,7
None,281.25,0.0,0.0,99,Drizzle,6793,October,Wednesday,7
None,280.1,0.0,0.0,99,Rain,6283,October,Wednesday,8
None,280.1,0.0,0.0,99,Drizzle,6283,October,Wednesday,8
None,279.61,0.0,0.0,99,Rain,5680,October,Wednesday,9
None,279.61,0.0,0.0,99,Drizzle,5680,October,Wednesday,9
None,279.67,0.0,0.0,99,Clear,4632,October,Wednesday,10
None,280.19,0.0,0.0,1,Clear,4887,October,Wednesday,11
None,282.09,0.0,0.0,75,Clouds,5030,October,Wednesday,12
None,282.26,0.0,0.0,75,Clouds,5067,October,Wednesday,13
None,282.05,0.0,0.0,90,Clouds,5227,October,Wednesday,14
None,281.59,0.0,0.0,90,Clouds,5610,October,Wednesday,15
None,281.23,0.0,0.0,81,Clear,6286,October,Wednesday,16
None,282.6,0.0,0.0,81,Clear,4775,October,Wednesday,18
None,282.6,0.0,0.0,81,Clear,3340,October,Wednesday,19
None,282.6,0.0,0.0,81,Clear,3013,October,Wednesday,20
None,282.6,0.0,0.0,81,Clear,2603,October,Wednesday,21
None,282.6,0.0,0.0,81,Clear,1910,October,Wednesday,22
None,282.6,0.0,0.0,81,Clear,1037,October,Wednesday,23
None,273.9,0.0,0.0,1,Clear,347,October,Thursday,1
None,274.4,0.0,0.0,75,Clouds,350,October,Thursday,3
None,274.05,0.0,0.0,75,Clouds,850,October,Thursday,4
None,273.71,0.0,0.0,40,Clouds,2791,October,Thursday,5
None,272.66,0.0,0.0,1,Clear,5809,October,Thursday,6
None,272.65,0.0,0.0,1,Clear,6798,October,Thursday,7
None,272.52,0.0,0.0,1,Clear,6304,October,Thursday,8
None,275.19,0.0,0.0,20,Clouds,5291,October,Thursday,9
None,275.34,0.0,0.0,1,Clear,4638,October,Thursday,10
None,284.1,0.0,0.0,50,Clear,5557,October,Thursday,14
None,284.1,0.0,0.0,50,Clear,5818,October,Thursday,15
None,283.78,0.0,0.0,75,Clouds,6272,October,Thursday,16
None,283.52,0.0,0.0,75,Clouds,5944,October,Thursday,17
None,283.32,0.0,0.0,90,Clouds,4949,October,Thursday,18
None,282.06,0.0,0.0,90,Clouds,3511,October,Thursday,19
None,281.95,0.0,0.0,90,Clouds,3039,October,Thursday,20
None,281.81,0.0,0.0,90,Clouds,2679,October,Thursday,21
None,282.16,0.0,0.0,90,Clouds,2094,October,Thursday,22
None,282.53,0.0,0.0,90,Clouds,1284,October,Thursday,23
None,283.91,0.0,0.0,90,Clouds,630,October,Friday,0
None,284.64,0.0,0.0,90,Clouds,410,October,Friday,1
None,284.61,0.0,0.0,90,Clouds,331,October,Friday,2
None,283.18,0.0,0.0,72,Drizzle,372,October,Friday,3
None,282.26,0.0,0.0,72,Rain,739,October,Friday,4
None,280.77,0.0,0.0,72,Drizzle,2561,October,Friday,5
None,278.53,0.0,0.0,75,Clouds,5586,October,Friday,6
None,277.64,0.0,0.0,75,Clouds,6992,October,Friday,7
None,277.9,0.0,0.0,90,Clouds,5860,October,Friday,8
None,278.18,0.0,0.0,90,Clouds,5230,October,Friday,9
None,279.29,0.0,0.0,75,Clouds,4864,October,Friday,10
None,280.45,0.0,0.0,75,Clouds,5146,October,Friday,11
None,280.95,0.0,0.0,40,Clouds,5526,October,Friday,12
None,281.74,0.0,0.0,40,Clouds,5383,October,Friday,13
None,281.84,0.0,0.0,75,Clouds,5758,October,Friday,14
None,282.45,0.0,0.0,75,Clouds,5889,October,Friday,15
None,282.2,0.0,0.0,75,Clouds,6057,October,Friday,16
None,281.54,0.0,0.0,40,Clouds,6028,October,Friday,17
None,280.21,0.0,0.0,20,Clouds,5257,October,Friday,18
None,282.2,0.0,0.0,56,Clear,1897,October,Friday,23
None,272.58,0.0,0.0,1,Clear,1335,October,Saturday,0
None,272.06,0.0,0.0,1,Clear,769,October,Saturday,1
None,270.99,0.0,0.0,1,Clear,570,October,Saturday,2
None,270.29,0.0,0.0,20,Clouds,413,October,Saturday,3
None,269.48,0.0,0.0,1,Clear,399,October,Saturday,4
None,269.27,0.0,0.0,1,Clear,740,October,Saturday,5
None,268.91,0.0,0.0,1,Clear,1420,October,Saturday,6
None,268.98,0.0,0.0,75,Clouds,2220,October,Saturday,7
None,269.23,0.0,0.0,40,Clouds,3479,October,Saturday,8
None,272.61,0.0,0.0,40,Clouds,4546,October,Saturday,9
None,276.78,0.0,0.0,20,Clouds,4579,October,Saturday,10
None,279.22,0.0,0.0,1,Clear,4438,October,Saturday,11
None,280.35,0.0,0.0,1,Clear,4623,October,Saturday,12
None,281.81,0.0,0.0,1,Clear,4440,October,Saturday,13
None,283.05,0.0,0.0,1,Clear,4495,October,Saturday,14
None,283.96,0.0,0.0,1,Clear,4483,October,Saturday,15
None,284.53,0.0,0.0,1,Clear,4591,October,Saturday,16
None,284.44,0.0,0.0,1,Clear,4477,October,Saturday,17
None,283.64,0.0,0.0,1,Clear,4221,October,Saturday,18
None,281.85,0.0,0.0,20,Clouds,3672,October,Saturday,19
None,281.38,0.0,0.0,1,Clear,3015,October,Saturday,20
None,281.84,0.0,0.0,75,Clouds,2769,October,Saturday,21
None,282.23,0.0,0.0,90,Clouds,2875,October,Saturday,22
None,282.18,0.0,0.0,90,Clouds,1931,October,Saturday,23
None,282.49,0.0,0.0,90,Clouds,1309,October,Sunday,0
None,282.54,0.0,0.0,90,Clouds,870,October,Sunday,1
None,282.58,0.0,0.0,90,Clouds,654,October,Sunday,2
None,282.23,0.0,0.0,90,Clouds,364,October,Sunday,3
None,282.08,0.0,0.0,90,Clouds,262,October,Sunday,4
None,282.23,0.0,0.0,90,Clouds,505,October,Sunday,5
None,282.24,0.0,0.0,90,Clouds,861,October,Sunday,6
None,282.24,0.0,0.0,90,Clouds,1132,October,Sunday,7
None,282.24,0.0,0.0,57,Mist,1797,October,Sunday,8
None,282.43,0.0,0.0,57,Drizzle,2685,October,Sunday,9
None,282.43,0.0,0.0,57,Mist,2685,October,Sunday,9
None,282.43,0.0,0.0,57,Haze,2685,October,Sunday,9
None,282.33,0.0,0.0,57,Drizzle,3370,October,Sunday,10
None,282.33,0.0,0.0,57,Mist,3370,October,Sunday,10
None,282.82,0.0,0.0,57,Drizzle,3662,October,Sunday,11
None,282.82,0.0,0.0,57,Mist,3662,October,Sunday,11
None,283.33,0.0,0.0,57,Mist,4076,October,Sunday,12
None,283.33,0.0,0.0,57,Rain,4076,October,Sunday,12
None,283.33,0.0,0.0,57,Drizzle,4076,October,Sunday,12
None,283.75,0.0,0.0,93,Rain,4128,October,Sunday,13
None,283.75,0.0,0.0,93,Mist,4128,October,Sunday,13
None,283.75,0.0,0.0,93,Drizzle,4128,October,Sunday,13
None,284.09,0.0,0.0,93,Mist,4358,October,Sunday,14
None,284.09,0.0,0.0,93,Rain,4358,October,Sunday,14
None,284.09,0.0,0.0,93,Drizzle,4358,October,Sunday,14
None,284.55,0.0,0.0,93,Mist,4342,October,Sunday,15
None,284.55,0.0,0.0,93,Rain,4342,October,Sunday,15
None,284.68,0.0,0.0,93,Mist,4234,October,Sunday,16
None,284.64,0.0,0.0,93,Rain,4271,October,Sunday,17
None,284.64,0.0,0.0,93,Mist,4271,October,Sunday,17
None,284.4,0.0,0.0,93,Mist,4080,October,Sunday,18
None,284.17,0.0,0.0,93,Mist,3453,October,Sunday,19
None,284.03,0.0,0.0,93,Mist,2718,October,Sunday,20
None,283.58,0.0,0.0,93,Mist,2439,October,Sunday,21
None,283.04,0.0,0.0,93,Mist,1819,October,Sunday,22
None,281.95,0.0,0.0,93,Mist,1002,October,Sunday,23
None,281.95,0.0,0.0,93,Fog,1002,October,Sunday,23
None,281.61,0.0,0.0,93,Mist,542,October,Monday,0
None,281.61,0.0,0.0,93,Fog,542,October,Monday,0
None,281.57,0.0,0.0,85,Fog,303,October,Monday,1
None,281.42,0.0,0.0,85,Fog,239,October,Monday,2
None,281.29,0.0,0.0,85,Mist,335,October,Monday,3
None,281.29,0.0,0.0,85,Fog,335,October,Monday,3
None,281.02,0.0,0.0,85,Mist,810,October,Monday,4
None,281.02,0.0,0.0,85,Fog,810,October,Monday,4
None,280.82,0.0,0.0,85,Mist,2606,October,Monday,5
None,280.82,0.0,0.0,85,Fog,2606,October,Monday,5
None,280.39,0.0,0.0,85,Mist,5714,October,Monday,6
None,280.19,0.0,0.0,100,Mist,6798,October,Monday,7
None,279.82,0.0,0.0,100,Mist,6114,October,Monday,8
None,279.75,0.0,0.0,100,Mist,5094,October,Monday,9
None,280.07,0.0,0.0,100,Mist,4473,October,Monday,10
None,280.32,0.0,0.0,90,Clouds,4529,October,Monday,11
None,281.72,0.0,0.0,100,Clear,4823,October,Monday,12
None,284.01,0.0,0.0,40,Clouds,4872,October,Monday,13
None,285.88,0.0,0.0,1,Clear,5238,October,Monday,14
None,286.87,0.0,0.0,1,Clear,5584,October,Monday,15
None,287.6,0.0,0.0,20,Clouds,6246,October,Monday,16
None,287.27,0.0,0.0,20,Clouds,5957,October,Monday,17
None,286.18,0.0,0.0,20,Clouds,4535,October,Monday,18
None,285.2,0.0,0.0,75,Clouds,3234,October,Monday,19
None,284.68,0.0,0.0,75,Clouds,2677,October,Monday,20
None,284.49,0.0,0.0,90,Clouds,2077,October,Monday,21
None,283.54,0.0,0.0,20,Clouds,1380,October,Monday,22
None,282.33,0.0,0.0,75,Clouds,927,October,Monday,23
None,281.21,0.0,0.0,20,Clouds,500,October,Tuesday,0
None,279.87,0.0,0.0,1,Clear,324,October,Tuesday,1
None,278.93,0.0,0.0,1,Clear,257,October,Tuesday,2
None,277.91,0.0,0.0,1,Clear,354,October,Tuesday,3
None,277.21,0.0,0.0,1,Clear,769,October,Tuesday,4
None,276.61,0.0,0.0,1,Clear,2769,October,Tuesday,5
None,276.11,0.0,0.0,1,Clear,5789,October,Tuesday,6
None,274.81,0.0,0.0,20,Clouds,7055,October,Tuesday,7
None,274.99,0.0,0.0,20,Clouds,6408,October,Tuesday,8
None,277.91,0.0,0.0,20,Clouds,5254,October,Tuesday,9
None,280.71,0.0,0.0,20,Clouds,4547,October,Tuesday,10
None,283.85,0.0,0.0,20,Clouds,4784,October,Tuesday,11
None,286.01,0.0,0.0,40,Clouds,5015,October,Tuesday,12
None,286.31,0.0,0.0,1,Clear,5057,October,Tuesday,13
None,288.15,0.0,0.0,75,Clouds,5430,October,Tuesday,14
None,289.15,0.0,0.0,75,Clouds,5813,October,Tuesday,15
None,288.99,0.0,0.0,75,Clouds,6496,October,Tuesday,16
None,288.86,0.0,0.0,75,Clouds,6429,October,Tuesday,17
None,288.16,0.0,0.0,90,Clouds,5142,October,Tuesday,18
None,287.28,0.0,0.0,68,Rain,3311,October,Tuesday,19
None,287.04,0.0,0.0,90,Clouds,2777,October,Tuesday,20
None,286.9,0.0,0.0,90,Clouds,2331,October,Tuesday,21
None,287.09,0.0,0.0,90,Clouds,1767,October,Tuesday,22
None,287.09,0.0,0.0,90,Clouds,1093,October,Tuesday,23
None,286.89,0.0,0.0,75,Clouds,554,October,Wednesday,0
None,286.93,0.0,0.0,75,Clouds,333,October,Wednesday,1
None,286.93,0.0,0.0,90,Clouds,267,October,Wednesday,2
None,287.07,0.0,0.0,90,Clouds,358,October,Wednesday,3
None,286.56,0.0,0.0,75,Clouds,777,October,Wednesday,4
None,285.91,0.0,0.0,90,Clouds,2732,October,Wednesday,5
None,285.29,0.0,0.0,90,Clouds,5637,October,Wednesday,6
None,284.92,0.0,0.0,75,Clouds,5564,October,Wednesday,7
None,285.35,0.0,0.0,75,Clouds,6274,October,Wednesday,8
None,285.72,0.0,0.0,100,Rain,5403,October,Wednesday,9
None,285.72,0.0,0.0,100,Rain,5403,October,Wednesday,9
None,287.09,0.0,0.0,75,Clouds,4680,October,Wednesday,10
None,288.31,0.0,0.0,75,Clouds,4642,October,Wednesday,11
None,288.61,0.0,0.0,1,Clear,4979,October,Wednesday,12
None,290.32,0.0,0.0,1,Clear,4851,October,Wednesday,13
None,291.36,0.0,0.0,1,Clear,4291,October,Wednesday,14
None,292.01,0.0,0.0,1,Clear,4714,October,Wednesday,15
None,292.61,0.0,0.0,1,Clear,6723,October,Wednesday,16
None,292.65,0.0,0.0,1,Clear,6180,October,Wednesday,17
None,290.52,0.0,0.0,40,Clouds,4843,October,Wednesday,18
None,288.35,0.0,0.0,40,Clouds,3435,October,Wednesday,19
None,286.72,0.0,0.0,40,Clouds,2921,October,Wednesday,20
None,285.49,0.0,0.0,40,Clouds,2763,October,Wednesday,21
None,284.22,0.0,0.0,20,Clouds,1930,October,Wednesday,22
None,283.8,0.0,0.0,20,Clouds,1160,October,Wednesday,23
None,283.72,0.0,0.0,20,Clouds,654,October,Thursday,0
None,282.8,0.0,0.0,40,Clouds,374,October,Thursday,1
None,282.32,0.0,0.0,99,Mist,301,October,Thursday,2
None,282.38,0.0,0.0,99,Mist,397,October,Thursday,3
None,282.76,0.0,0.0,90,Clouds,794,October,Thursday,4
None,282.88,0.0,0.0,99,Mist,2564,October,Thursday,5
None,284.18,0.0,0.0,75,Clouds,5358,October,Thursday,6
None,284.69,0.0,0.0,90,Clouds,6441,October,Thursday,7
None,285.0,0.0,0.0,90,Clouds,5536,October,Thursday,8
None,286.9,0.0,0.0,99,Rain,5256,October,Thursday,9
None,288.35,0.0,0.0,90,Clouds,4619,October,Thursday,10
None,289.59,0.0,0.0,90,Clouds,5107,October,Thursday,11
None,288.27,0.0,0.0,99,Rain,5147,October,Thursday,12
None,286.41,0.0,0.0,90,Clouds,5283,October,Thursday,13
None,285.96,0.0,0.0,90,Clouds,5704,October,Thursday,14
None,287.04,0.0,0.0,90,Clouds,5887,October,Thursday,15
None,287.18,0.0,0.0,90,Clouds,6307,October,Thursday,16
None,286.94,0.0,0.0,90,Clouds,5953,October,Thursday,17
None,286.01,0.0,0.0,90,Clouds,4519,October,Thursday,18
None,284.67,0.0,0.0,100,Drizzle,3427,October,Thursday,19
None,283.44,0.0,0.0,100,Rain,2921,October,Thursday,20
None,282.51,0.0,0.0,100,Drizzle,2649,October,Thursday,21
None,281.9,0.0,0.0,90,Clouds,2005,October,Thursday,22
None,281.85,0.0,0.0,90,Clouds,1177,October,Thursday,23
None,281.28,0.0,0.0,90,Clouds,699,October,Friday,0
None,280.97,0.0,0.0,87,Mist,436,October,Friday,1
None,280.44,0.0,0.0,87,Drizzle,353,October,Friday,2
None,280.44,0.0,0.0,87,Mist,353,October,Friday,2
None,280.02,0.0,0.0,87,Mist,399,October,Friday,3
None,279.79,0.0,0.0,87,Drizzle,720,October,Friday,4
None,279.79,0.0,0.0,87,Mist,720,October,Friday,4
None,279.79,0.0,0.0,87,Rain,720,October,Friday,4
None,279.79,0.0,0.0,87,Drizzle,720,October,Friday,4
None,279.74,0.0,0.0,87,Mist,2370,October,Friday,5
None,279.74,0.0,0.0,87,Rain,2370,October,Friday,5
None,279.65,0.0,0.0,87,Drizzle,5162,October,Friday,6
None,279.65,0.0,0.0,87,Mist,5162,October,Friday,6
None,279.65,0.0,0.0,87,Rain,5162,October,Friday,6
None,279.45,0.0,0.0,91,Mist,5777,October,Friday,7
None,279.45,0.0,0.0,91,Rain,5777,October,Friday,7
None,279.22,0.0,0.0,91,Drizzle,5235,October,Friday,8
None,279.22,0.0,0.0,91,Mist,5235,October,Friday,8
None,279.22,0.0,0.0,91,Rain,5235,October,Friday,8
None,279.35,0.0,0.0,91,Rain,4606,October,Friday,9
None,279.35,0.0,0.0,91,Mist,4606,October,Friday,9
None,279.92,0.0,0.0,91,Mist,4328,October,Friday,10
None,280.44,0.0,0.0,90,Clouds,4282,October,Friday,11
None,281.0,0.0,0.0,90,Clouds,4489,October,Friday,12
None,281.51,0.0,0.0,90,Clouds,4908,October,Friday,13
None,281.93,0.0,0.0,92,Mist,5620,October,Friday,14
None,281.94,0.0,0.0,92,Mist,5849,October,Friday,15
None,281.94,0.0,0.0,92,Drizzle,5849,October,Friday,15
None,282.27,0.0,0.0,92,Rain,4945,October,Friday,16
None,282.41,0.0,0.0,92,Rain,4619,October,Friday,17
